dataset,shot,model,runs,OA_mean,OA_std,Macro-F1_mean,Macro-F1_std,mean_true_logit_margin_mean,mean_true_logit_margin_std,negative_logit_margin_rate_mean,negative_logit_margin_rate_std,low_logit_margin_rate_mean,low_logit_margin_rate_std,safe_logit_margin_rate_mean,safe_logit_margin_rate_std,mean_true_prob_margin_mean,mean_true_prob_margin_std,negative_prob_margin_rate_mean,negative_prob_margin_rate_std,low_prob_margin_rate_mean,low_prob_margin_rate_std,safe_prob_margin_rate_mean,safe_prob_margin_rate_std,mean_top1_top2_margin_mean,mean_top1_top2_prob_margin_mean
indian_pines,5,hybridsn_small,5,0.7201915403032721,0.0167130853051495,0.6380526208226653,0.021695893036885,0.8646312724678553,0.1376481825277075,0.2798084596967278,0.0167130853051496,0.0121508379888268,0.0016922875306177,0.7080407023144454,0.0159598961479834,0.313186321075719,0.0316047971923909,0.2798084596967278,0.0167130853051496,0.0255985634477254,0.0035772756623247,0.6945929768555468,0.0166043797201961,1.6627123165585194,0.4756683152898954
indian_pines,5,spectral_qnn_gated_proto,5,0.7205107741420591,0.014952589358459,0.6412111895316943,0.0172640242026779,0.9575275038858072,0.2003555149230007,0.279489225857941,0.014952589358459,0.009217877094972,0.0038194622879439,0.711292897047087,0.0162762060276201,0.3270642765810884,0.068972697775897,0.279489225857941,0.014952589358459,0.0167198723064644,0.011513182890376,0.7037909018355946,0.0205575926505271,1.9954235302711,0.5433185169525108
indian_pines,10,hybridsn_small,5,0.8012265004523977,0.0255531736555572,0.7153315253298541,0.0202130675531152,1.8801270867390656,0.3345584740010618,0.1987734995476023,0.0255531736555572,0.0109379712476123,0.0025657741455231,0.7902885292047853,0.0258282110102511,0.4768950998440468,0.0575212454972082,0.1987734995476023,0.0255531736555572,0.0178144164069568,0.0056489786506027,0.7834120840454408,0.0265290560166639,2.4166565977362873,0.6052931297129586
indian_pines,10,spectral_qnn_gated_proto,5,0.8088468885090982,0.0239716803285429,0.718224051546547,0.0192003452289834,1.802588577950217,0.2771238131415646,0.1911531114909018,0.0239716803285429,0.0078013471398411,0.001464608332279,0.801045541369257,0.0253184686957365,0.4890328775456454,0.0603844667227714,0.1911531114909018,0.0239716803285429,0.0108977581180255,0.002189308549523,0.7979491303910727,0.025443616447207,2.421700958844536,0.6404383801205918
pavia_university,5,hybridsn_small,5,0.7657700335357989,0.0432776614907345,0.7619649157153292,0.0186942909397042,1.4171598337201945,0.5009160717670187,0.2342299664642011,0.0432776614907345,0.0128092680753265,0.004323535223858,0.7529607654604723,0.0456927429863988,0.4101169834416575,0.0969565716659475,0.2342299664642011,0.0432776614907345,0.0224900916957857,0.009618041518884,0.7432799418400131,0.0489074837717946,2.0115958478830995,0.5499022790683963
pavia_university,5,spectral_qnn_gated_proto,5,0.775277315259961,0.0347761092374978,0.7710936007020088,0.0217430160878396,1.1280708717953805,0.4613681244308153,0.2247226847400389,0.0347761092374978,0.0117727070190661,0.0044994095697529,0.7635046082408949,0.0352124356804312,0.345615895955126,0.1060367993507849,0.2247226847400389,0.0347761092374978,0.01775286695903,0.0074747157025497,0.757524448300931,0.034885199559712,1.6860487311752312,0.4902189834225182
pavia_university,10,hybridsn_small,5,0.8226171471499673,0.0492476171709186,0.7919759979075065,0.0813698546918066,1.5126179747818769,0.6220546467889927,0.1773828528500328,0.0492476171709187,0.0174617334961029,0.0115478739893321,0.8051554136538643,0.0596198566058271,0.4268453585133021,0.1610280476048219,0.1773828528500328,0.0492476171709187,0.0445581744764766,0.0490894340818472,0.7780589726734906,0.0948270325227826,1.837262838789755,0.5009169139792344
pavia_university,10,spectral_qnn_gated_proto,5,0.8631514696215608,0.0258886811186573,0.8612717948590678,0.022158129633316,1.6014340267822311,0.3147879984764459,0.1368485303784393,0.0258886811186574,0.0070898675932012,0.0015246279457302,0.8560616020283595,0.0261580738126971,0.4802971482918367,0.0914582564288226,0.1368485303784393,0.0258886811186574,0.009963376842896,0.0033690564204271,0.8531880927786647,0.026233050882265,1.9694425019261612,0.5748317788615571
salinas,5,hybridsn_small,5,0.8693276921078514,0.0710670097739067,0.8966788489976594,0.0920786753362045,1.644981594476593,0.6996773323689867,0.1306723078921486,0.0710670097739067,0.10470782534469,0.0650749240961953,0.7646198667631612,0.0952081382745405,0.4020368973019745,0.1784185690525606,0.1306723078921486,0.0710670097739067,0.174061496780419,0.1355673333261772,0.6952661953274324,0.1988821322694529,1.6982086726625083,0.4169847787782634
salinas,5,spectral_qnn_gated_proto,5,0.8816493161869768,0.0209164374414811,0.9335603496753628,0.0077756478662979,1.8842652754047635,0.4918559797831912,0.118350683813023,0.0209164374414812,0.0491528883445601,0.0336353308849936,0.8324964278424168,0.0306838884921816,0.4848984470451814,0.0898293979018608,0.118350683813023,0.0209164374414812,0.0561190595483308,0.0390735189831907,0.8255302566386462,0.0352666141568092,1.9622312853508064,0.5154531806844067
