dataset,shot,comparison,class_id,class_name_if_available,baseline_precision,qnn_precision,delta_precision,baseline_recall,qnn_recall,delta_recall,baseline_f1,qnn_f1,delta_f1,interpretation,rank_type
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,12,Wheat,0.37660998395299616,0.4473179621058264,0.07070797815283025,0.9989473684210527,0.9989473684210527,0.0,0.5415157009339151,0.6098413625538701,0.06832566161995501,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,0,Alfalfa,0.24448792382236118,0.2772204266321913,0.032732502809830144,0.9939393939393939,1.0,0.0060606060606061,0.3827612156230379,0.42459463264330954,0.04183341702027166,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,6,Grass-pasture-mowed,0.2741066393342343,0.29544423830138117,0.021337598967146876,1.0,1.0,0.0,0.42711608659703015,0.45385939741750364,0.026743310820473487,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,4,Grass-pasture,0.768116246931891,0.7926941748028451,0.02457792787095414,0.7017094017094017,0.7102564102564103,0.008547008547008628,0.7278024205290887,0.744379166211091,0.016576745682002292,near_neutral,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,8,Oats,0.11204883246896594,0.12114683355517689,0.00909800108621095,1.0,0.9666666666666666,-0.03333333333333344,0.2005475321122391,0.21299548323587944,0.012447951123640333,near_neutral,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,11,Soybean-clean,0.5751992579566682,0.5456830608356562,-0.029516197121011944,0.5321799307958478,0.49550173010380616,-0.03667820069204164,0.529673091207777,0.5027302972211638,-0.026942793986613145,degraded,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,1,Corn-notill,0.790414137689078,0.8040186878935909,0.0136045502045129,0.5586694975230007,0.5235668789808917,-0.03510261854210894,0.6418358819707981,0.6189225154769676,-0.022913366493830467,degraded,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,3,Corn,0.7796978365239118,0.744898717588004,-0.03479911893590781,0.909009009009009,0.8981981981981981,-0.010810810810810922,0.818462047755473,0.798585182306112,-0.01987686544936107,near_neutral,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,13,Woods,0.9504134896234936,0.9235295022048934,-0.026883987418600208,0.82736,0.82256,-0.0048000000000000265,0.8784969723936763,0.8628747788473996,-0.015622193546276697,near_neutral,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,15,Stone-Steel-Towers,0.36602880241062496,0.3500732157772258,-0.015955586633399188,0.9897435897435898,0.9923076923076923,0.002564102564102555,0.5220134158103342,0.5086873916103347,-0.013326024199999509,near_neutral,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,12,Wheat,0.37660998395299616,0.45454088041226565,0.07793089645926948,0.9989473684210527,0.9989473684210527,0.0,0.5415157009339151,0.6164118838860672,0.07489618295215206,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,0,Alfalfa,0.24448792382236118,0.2751381679854894,0.030650244163128226,0.9939393939393939,1.0,0.0060606060606061,0.3827612156230379,0.4218294987750224,0.03906828315198452,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,6,Grass-pasture-mowed,0.2741066393342343,0.2918949118108782,0.017788272476643885,1.0,1.0,0.0,0.42711608659703015,0.4495972181976239,0.02248113160059373,improved,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,4,Grass-pasture,0.768116246931891,0.795466000547026,0.02734975361513503,0.7017094017094017,0.7094017094017093,0.007692307692307665,0.7278024205290887,0.7450863588963502,0.017283938367261498,near_neutral,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,2,Corn-mintill,0.5682659663576273,0.5680359259689639,-0.00023004038866336618,0.4620858895705521,0.4674846625766872,0.005398773006135116,0.4902816592674343,0.4977648731818243,0.007483213914389997,near_neutral,top_improved
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,11,Soybean-clean,0.5751992579566682,0.5495449537655654,-0.025654304191102706,0.5321799307958478,0.48546712802768166,-0.04671280276816614,0.529673091207777,0.4999760010114821,-0.02969709019629485,degraded,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,15,Stone-Steel-Towers,0.36602880241062496,0.33698720098310025,-0.02904160142752471,0.9897435897435898,1.0,0.01025641025641022,0.5220134158103342,0.49557683094809446,-0.026436584862239765,degraded,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,1,Corn-notill,0.790414137689078,0.8002561810448157,0.009842043355737684,0.5586694975230007,0.5309271054493985,-0.027742392073602185,0.6418358819707981,0.623567085115255,-0.018268796855543057,near_neutral,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,13,Woods,0.9504134896234936,0.9244243044858506,-0.025989185137643034,0.82736,0.8217599999999999,-0.005600000000000049,0.8784969723936763,0.8627468460887041,-0.01575012630497219,near_neutral,top_degraded
indian_pines,5,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,7,Hay-windrowed,0.8874546710175949,0.8642705185636192,-0.02318415245397565,0.9974082073434125,0.9995680345572355,0.002159827213823018,0.9380968097881986,0.9250992980198951,-0.012997511768303549,near_neutral,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,2,Corn-mintill,0.7485561534385068,0.8080051226432692,0.05944896920476239,0.7330864197530864,0.7511111111111111,0.018024691358024647,0.7327951325215514,0.7772704232745188,0.04447529075296741,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,15,Stone-Steel-Towers,0.3996583973325884,0.43945923463315123,0.03980083730056283,1.0,0.9945205479452055,-0.005479452054794498,0.5616903408270152,0.5971917491804104,0.035501408353395214,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,12,Wheat,0.6178356602189097,0.6566447313277479,0.038809071108838245,0.9881081081081081,0.9978378378378379,0.009729729729729741,0.7545577648825338,0.788347272934603,0.03378950805206926,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,1,Corn-notill,0.7631831703580967,0.8007214651288781,0.03753829477078141,0.7208806818181819,0.7171875,-0.003693181818181901,0.7394515363652097,0.7554954946085346,0.01604395824332494,near_neutral,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,10,Soybean-mintill,0.9534263651039823,0.9528647663557124,-0.000561598748269887,0.7123613963039015,0.7296098562628337,0.017248459958932205,0.8132647587057859,0.8244503160404528,0.011185557334666973,near_neutral,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,14,Buildings-Grass-Trees-Drives,0.6488714369249766,0.6138752933057805,-0.03499614361919612,0.9950819672131148,0.994535519125683,-0.0005464480874317612,0.7797424114978091,0.7550293217192917,-0.024713089778517383,degraded,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,6,Grass-pasture-mowed,0.2962568561092309,0.27295008912655966,-0.023306766982671256,1.0,1.0,0.0,0.45116284061517326,0.4265526883878724,-0.02461015222730084,degraded,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,3,Corn,0.7887370721192231,0.7545762151169111,-0.03416085700231197,0.9769585253456222,0.9778801843317971,0.0009216589861749114,0.8679573079964007,0.8469165930337483,-0.021040714962652363,degraded,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,11,Soybean-clean,0.7944938845512054,0.7403736505155624,-0.05412023403564303,0.619197207678883,0.6233856893542757,0.004188481675392763,0.6912481430514272,0.6731174318944751,-0.018130711156952084,near_neutral,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,8,Oats,0.12828827143720758,0.1202170568972188,-0.008071214539988783,1.0,0.975,-0.025000000000000022,0.2224768650752555,0.21052868849479017,-0.01194817658046532,near_neutral,top_degraded
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,15,Stone-Steel-Towers,0.3996583973325884,0.4750764028894484,0.07541800555686001,1.0,1.0,0.0,0.5616903408270152,0.6237395714617795,0.06204923063476431,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,12,Wheat,0.6178356602189097,0.6747495890282933,0.05691392880938362,0.9881081081081081,0.9978378378378379,0.009729729729729741,0.7545577648825338,0.8015651091906033,0.04700734430806952,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,2,Corn-mintill,0.7485561534385068,0.8125480029247607,0.06399184948625392,0.7330864197530864,0.7474074074074074,0.014320987654320994,0.7327951325215514,0.7774301935611266,0.04463506103957526,improved,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,1,Corn-notill,0.7631831703580967,0.8080179682130961,0.04483479785499944,0.7208806818181819,0.7150568181818182,-0.005823863636363669,0.7394515363652097,0.7572436150416676,0.017792078676457934,near_neutral,top_improved
indian_pines,10,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,10,Soybean-mintill,0.9534263651039823,0.9540439370479481,0.0006175719439658334,0.7123613963039015,0.7316632443531828,0.019301848049281256,0.8132647587057859,0.8262734223280275,0.013008663622241623,near_neutral,top_improved
