dataset,shot,model,Macro-F1_mean,separation_ratio_mean,prototype_negative_margin_rate_mean,mean_true_logit_margin_mean,negative_logit_margin_rate_mean
indian_pines,5,hybridsn_small,0.6380526208226653,2.5889456964496644,0.2795889864325618,0.8646312724678553,0.2798084596967278
indian_pines,5,spectral_qnn_gated_proto,0.6412111895316943,2.3250545046797404,0.2718276137270551,0.9575275038858073,0.279489225857941
indian_pines,10,hybridsn_small,0.7153315253298541,3.1047483090800116,0.1961194329948728,1.8801270867390656,0.19877349954760232
indian_pines,10,spectral_qnn_gated_proto,0.718224051546547,2.794523633820817,0.1868704131899065,1.802588577950217,0.1911531114909018
pavia_university,5,hybridsn_small,0.7619649157153292,2.579363923381756,0.2406369456626251,1.4171598337201945,0.23422996646420113
pavia_university,5,spectral_qnn_gated_proto,0.7710936007020088,2.390353406435456,0.2197884664993785,1.1280708717953805,0.22472268474003892
pavia_university,10,hybridsn_small,0.7919759979075065,3.135510357800773,0.1512630293924312,1.5126179747818767,0.17738285285003288
pavia_university,10,spectral_qnn_gated_proto,0.8612717948590678,2.8455549694589024,0.1368391398253357,1.6014340267822313,0.1368485303784393
salinas,5,hybridsn_small,0.8966788489976594,6.599356788126082,0.1197424335207556,1.644981594476593,0.13067230789214868
salinas,5,spectral_qnn_gated_proto,0.9335603496753627,5.560455234948766,0.1279741691254244,1.8842652754047635,0.11835068381302308
salinas,10,hybridsn_small,0.9544178031872306,8.082331334383072,0.0571094054897879,2.3213020470604766,0.06398186177033582
salinas,10,spectral_qnn_gated_proto,0.949634146206311,6.836619235138366,0.071805831738185,2.23594172999334,0.09278373506290769
