dataset,shot,model,runs,OA_mean,Macro-F1_mean,mean_intra_distance_mean,mean_intra_distance_std,mean_inter_distance_mean,mean_inter_distance_std,separation_ratio_mean,separation_ratio_std,mean_margin_mean,mean_margin_std,negative_margin_rate_mean,negative_margin_rate_std,low_margin_rate_mean,low_margin_rate_std
indian_pines,5,hybridsn_small,5,0.7201915403032721,0.6380526208226653,0.4368705821562199,0.011158987417059962,1.1300498710685791,0.016720575205104806,2.5889456964496644,0.09308431132374521,0.24972619517043446,0.02858768476427286,0.27958898643256186,0.01823939803592453,0.01931364724660814,0.00244492796201762
indian_pines,5,spectral_qnn_gated_proto,5,0.7205107741420591,0.6412111895316943,0.4908377531489587,0.010649756191131487,1.1405007039114818,0.017234439291750944,2.3250545046797404,0.07420247485872224,0.2339201705745307,0.024515726832091266,0.2718276137270551,0.017036979967563884,0.02318435754189944,0.0019288649702485165
indian_pines,10,hybridsn_small,5,0.8012265004523977,0.7153315253298541,0.36053675379412375,0.016223960275112997,1.1172494802449322,0.0074373361668946415,3.1047483090800116,0.1327956436653478,0.3722715714262626,0.030287125726443268,0.19611943299487283,0.022368623366655568,0.023685533326631147,0.003979677898860121
indian_pines,10,spectral_qnn_gated_proto,5,0.8088468885090982,0.718224051546547,0.4021605076722949,0.015054717029614095,1.1223174376623728,0.006441751834801405,2.794523633820817,0.10277809329157397,0.35242457641931263,0.03174449977786615,0.1868704131899065,0.0282018063748448,0.027586206896551724,0.005675823623378824
pavia_university,5,hybridsn_small,5,0.758594362754678,0.7348964299321697,0.4742070189639046,0.02915992276157936,1.2186524433717685,0.03131455791198431,2.5793639233817562,0.17015388984638255,0.37342555912245745,0.07516737544037136,0.24063694566262517,0.038166016891763514,0.019408550456133766,0.006207275060660086
pavia_university,5,spectral_qnn_gated_proto,5,0.775277315259961,0.7710936007020088,0.5177823970485094,0.03778401004044382,1.231847177581448,0.018183322665008394,2.390353406435456,0.1576885439438463,0.3759896920517216,0.05957349702700287,0.2197884664993785,0.02932529526491247,0.02037944701109261,0.0034021162367194177
pavia_university,10,hybridsn_small,5,0.8226171471499673,0.7919759979075065,0.3826046628941195,0.032736613673023454,1.1891998433607367,0.02678418694590221,3.135510357800773,0.3228182453546637,0.4956040570006716,0.06806902008401247,0.15126302939243122,0.02647044098309828,0.015855948915391115,0.006984965211663069
pavia_university,10,spectral_qnn_gated_proto,5,0.8631514696215608,0.8612717948590678,0.42624077502094354,0.03879509389883831,1.203386910187876,0.030681423351366054,2.8455549694589024,0.2592188027315283,0.48989226750521464,0.05748757195664999,0.13683913982533571,0.025104947807277754,0.01238144426706733,0.00247537722862597
salinas,5,hybridsn_small,5,0.8693276921078514,0.8966788489976594,0.18571453846161998,0.01804733729759766,1.2127865915247418,0.022750338692622118,6.599356788126082,0.7111084210724029,0.4916732508894584,0.06956734423134306,0.11974243352075561,0.021038029611401037,0.04678134684258383,0.022882696322976022
salinas,5,spectral_qnn_gated_proto,5,0.8816493161869768,0.9335603496753627,0.21960125437741834,0.01948501445311942,1.2119876302963706,0.025237718217124873,5.560455234948766,0.4837476907926757,0.48144193951278724,0.049823703606246085,0.12797416912542448,0.02281037824925898,0.042609809051940103,0.02174614574890427
salinas,10,hybridsn_small,5,0.9360181382296642,0.9544178031872306,0.15324946612038778,0.00964278947480985,1.233901364031429,0.0060030286726842595,8.082331334383072,0.4889465313132633,0.5673711224503541,0.044186357990011534,0.057109405489787955,0.008459179029710322,0.08508242115631214,0.108311753861814
salinas,10,spectral_qnn_gated_proto,5,0.9072162649370924,0.949634146206311,0.180744675787957,0.010106932465629798,1.232265413605337,0.009595183794984183,6.836619235138366,0.33925125851178406,0.5569971706564729,0.033287784224615084,0.07180583173818507,0.01666233538216787,0.07877120927725845,0.08827277734416913
