band,mean,std
0,945.767205909856,492.1412420707268
1,873.4625490929493,522.6586166859979
2,828.1019029362259,555.3661830446786
3,846.1397512623902,597.1688496135168
4,873.2756452216196,633.4056240380282
5,880.8961099682065,660.0945488038742
6,883.0966429773705,685.5650284478764
7,877.5922479895269,705.8727715716796
8,877.5243126987095,726.7397721573183
9,886.9313867589302,751.654686233841
10,898.7503272863288,775.7242347954746
11,895.4971479334206,789.0751410141772
12,897.9140639610997,805.6836430884622
13,905.6714980362821,820.3991581287524
14,913.7094164952309,830.2631772360454
15,917.8966710304844,836.2673458108327
16,928.3729661492425,842.4598349706981
17,940.2070319805498,845.0299165743551
18,951.9672713671217,842.556345003578
19,966.5009117262016,838.6501555538107
20,982.8946605573219,832.2386953334868
21,1004.4992519169627,823.5992595154217
22,1027.254324855059,811.7613736955055
23,1050.6042640733122,799.3858833293177
24,1079.6560454460446,791.3669725270202
25,1112.0332195623714,786.221326850242
26,1129.1351224985974,774.7302508251917
27,1137.5722367682813,760.5456902641254
28,1145.2595146811295,746.9159132270644
29,1159.1945015896765,737.6071893041571
30,1174.4587151673836,729.5982152282052
31,1180.949200486254,718.4071182870399
32,1182.4409481952496,707.5074071866168
33,1186.7686319431457,701.3191163936851
34,1187.8855900504957,695.6169446634859
35,1185.712058163456,689.9879595597966
36,1181.064265008416,683.9186883760849
37,1176.3782962408827,675.9206618230802
38,1171.6555545165513,665.2717738472745
39,1167.5906816906677,651.9440071487885
40,1163.447073125117,636.5739953577078
41,1158.3647372358332,621.296116476236
42,1156.1972367682813,608.7926623069083
43,1156.5022910043015,599.3654244294424
44,1158.378787170376,593.2897426688894
45,1159.338460819151,589.5349656935517
46,1156.2897886665419,586.0683994847309
47,1151.6200439498784,582.5817235344521
48,1151.5093977931551,580.5247980086663
49,1147.639260332897,575.6534834514374
50,1152.0105666729007,574.6343424968362
51,1158.7124322049747,576.613000915419
52,1158.836263325229,578.0398492796617
53,1157.1753787170376,580.7126488051135
54,1149.7684916775763,581.6282850326286
55,1142.6454086403592,582.9104612173827
56,1141.071465307649,586.9583267138573
57,1142.1606040770525,594.009274036948
58,1139.9609594164951,600.5529140480369
59,1134.6975406770152,604.3030721660259
60,1135.3317982046008,608.6522535730871
61,1141.1381148307462,612.7725010707345
62,1148.042780998691,613.810569344531
63,1157.2683514120067,609.4342768130786
64,1175.4298438376659,596.5744968911048
65,1212.007293809613,578.9487691404437
66,1266.6150411445672,559.3618513563612
67,1332.930919207032,530.9924794243575
68,1416.5371469983168,500.51076943470684
69,1501.2087151673836,472.28835554599425
70,1580.4920048625397,451.46102922050943
71,1656.2686786983354,441.8141019687179
72,1737.8062698709557,445.55185776378664
73,1826.961567233963,470.2199021498309
74,1914.7064007854872,514.7515721479516
75,2005.6082382644474,573.4777043697699
76,2080.961310080419,635.0108423065202
77,2146.5947493921826,693.7510205004422
78,2195.7260145876194,743.2024237960852
79,2235.5907518234526,784.2352602797174
80,2273.071699083598,819.034927795406
81,2291.0288947073127,844.0648294015155
82,2280.31185711614,846.7965378780427
83,2265.993501028614,815.1300660330282
84,2295.004652141388,820.2826450547753
85,2316.018304656817,847.8734027575625
86,2324.1507153544044,864.3040237215247
87,2322.4193239199553,867.80667155619
88,2321.8837665980923,868.0253488621543
89,2328.047035720965,868.9570494458607
90,2342.78759117262,871.6621306035426
91,2342.024382831494,868.8314121352554
92,2334.0530905180476,864.2431516011933
93,2339.1188516925376,864.6574884183163
94,2342.862843650645,866.0367345778646
95,2331.715307649149,861.755084371354
96,2323.0735225360013,851.6622963382822
97,2323.171848700206,839.0957173449098
98,2317.2705489059285,832.3970505558696
99,2310.7082008602956,832.9047124091179
100,2304.3789040583506,832.8888584001188
101,2318.6624275294557,839.1848333252908
102,2335.26613054049,849.0621031920562
