band,mean,std
0,2956.772758317885,379.8827344924614
1,4152.540052688067,224.70059041543277
2,4355.228510098546,256.87507025810044
3,4257.8805737145085,281.7866093713801
4,4630.174260903503,348.096307364645
5,4930.2747585130255,417.17366403628745
6,5010.645038540345,473.75585348171313
7,4887.460044882428,497.636866364215
8,4859.06917748073,539.6554268241608
9,4633.178358864279,547.056472114452
10,4626.047419260416,592.9684707252958
11,4549.769636062055,649.9191694610442
12,4387.027514879501,756.9029751498483
13,4629.564933164211,632.6874031356583
14,4698.8805737145085,638.3641267337474
15,4686.8460337593915,670.2079793526682
16,4543.1796272807105,785.5403290583171
17,4354.259830227339,862.6271193205257
18,4292.529417504146,836.8942498901125
19,4179.393404234559,884.5843811352491
20,4164.683774026735,902.3809152663097
21,4162.0335642501705,926.663849613175
22,4105.961069372622,938.0346098142423
23,4027.8112010927894,944.708581003769
24,4036.3560347350963,978.9890028180727
25,3952.2917357791002,1004.6847318690471
26,3837.8131525026834,1005.9346521815725
27,3903.137964679481,1068.8276436585816
28,3887.5387842716364,1084.6055782180972
29,3629.4136988974533,971.6612174550157
30,3870.2735876670895,924.3030747295777
31,3594.2090935701044,957.1805842100138
32,3875.2741730900575,931.7367628340486
33,4268.6234754610205,859.7824320266617
34,4367.727095326373,669.5987392648652
35,4505.517904185775,437.82394465613004
36,5272.537906137184,531.9721710962954
37,5821.833349595083,737.8819722637314
38,5770.14899014538,819.7183847009926
39,4000.6059127719777,665.6294422014898
40,5899.716850424432,895.1800835685258
41,6013.5120499560935,919.0661229058444
42,5768.327934432627,864.8145977593368
43,5705.838032978827,848.3223615287056
44,5307.955898136403,773.8604197591303
45,4867.978729632159,701.1907761604214
46,5164.809249682896,737.869935800723
47,5579.238462289004,797.9692378753657
48,5505.354961459655,784.3814290457441
49,5515.636452336813,779.3339021242673
50,5450.708752073373,764.4743208124584
51,5484.484632647088,761.1831609094519
52,5378.598302273393,734.0919539800683
53,4436.679968777442,603.9235672825578
54,4227.774709727778,590.8671810500146
55,4123.579471167919,588.1625700872739
56,3530.137867108986,633.2029864662973
57,2293.8808664259927,181.55477670358243
58,2446.1773831593327,196.8243330523746
59,2674.661527953947,212.87921283796194
60,3174.3267635866914,474.4329196475178
61,3944.7574397502194,498.7657013086935
62,4463.805834715582,472.4165081447023
63,4745.551858717924,498.99836610089403
64,4649.646502097766,497.41907384576035
65,4668.005171236218,505.3714770929404
66,4610.149868279832,508.12015190293585
67,4589.047419260416,515.4455185931341
68,4544.138647672944,516.7083296216971
69,4506.497024099912,518.4424751831962
70,4366.832764172114,515.4820360322243
71,4283.261781637233,509.1525578043685
72,4196.753927212411,504.1060899138465
73,3999.5105863986732,520.6184146959245
74,3275.6992877353887,580.7413772867279
75,2887.64513611084,213.21931382700905
76,1776.2188506195725,91.17863445788221
77,1610.4034539955117,66.81717265193889
78,1884.64825836667,92.39664554755771
79,1795.0795199531663,78.38911637049246
80,2311.7546102058736,131.13374587689026
81,2889.072494877549,188.1935536984589
82,2976.1037174358476,198.9332569013349
83,2965.244023807201,198.33025662119576
84,3003.7334374085276,216.6911104434242
85,2987.773343740853,208.83133514149665
86,3024.1845058054446,240.5406467152077
87,3014.875304907796,296.65728509255433
88,3013.650795199532,348.7327446519877
89,3000.6413308615474,340.10339602183313
90,3027.8625231729925,253.57300975216822
91,2851.480437115816,184.16820791197247
92,2913.36403551566,189.65713521457033
93,2999.4618011513317,216.5009322232628
94,2852.2335837642695,182.3620389235708
95,2983.7651478192993,199.60000534555263
96,2975.962532930042,200.1694568509636
97,2832.610791296712,187.54054700530523
98,2536.4497999804857,166.7712524425064
99,2314.897941262562,154.05410766751456
100,1870.7743194457996,115.07199975837264
101,1570.5565421016684,83.02479006788506
102,1093.415943018831,15.446456466091009
103,1030.9335544931214,10.392331840826106
104,1028.7793931115232,10.12758982668862
105,1030.798516928481,10.10594158735811
106,1026.120694701922,8.909655396215825
107,1027.8461313298858,8.489996576454153
108,1039.4017952971021,10.329744456910845
109,1063.6819201873354,18.553588293923607
110,1092.7799785344912,30.424833441771472
111,1112.746219143331,38.16881088407152
112,1220.4529222363158,83.62364845212655
113,1301.4919504341888,117.8890323245751
114,1233.8642794418968,86.5502415247999
115,1326.3825739096496,122.41905453175991
116,1556.1706507951994,207.00806131804438
117,1766.1076202556346,281.7219836216178
118,1915.4507756854327,326.1876167854374
119,2025.909064298956,354.2537958899277
120,2083.9352131915307,364.09852736744335
121,2119.9015513708655,365.6624068342479
122,2133.712069470192,359.71680697367873
123,2125.2975900087813,346.3085166105371
124,2027.8867206556738,309.7019014803311
125,2041.545028783296,305.8641398289321
126,2078.2458776465996,309.71941267161515
127,2042.7371450873256,292.3014067506605
128,2036.586203532052,285.480868337731
129,2089.3673529124794,294.7009458241261
130,2089.265782027515,290.4078784703034
131,2036.9795101961167,273.27761500644385
132,2018.6993853058834,266.88388629220043
133,2015.8418382281197,265.4269628247607
134,1978.1151331837252,255.53231305493554
135,1960.5063908674017,251.8148930235521
136,1923.085081471363,245.70404729541556
137,1882.4248219338472,238.28801337316236
138,1835.5469801931895,230.28131875447016
139,1800.8070055615183,223.9285069344121
140,1733.2957361693823,209.4365580162827
141,1684.5179041857741,198.00879764848273
142,1654.2636354766319,194.189593867364
143,1604.6123524246268,183.54766420801062
144,1505.3402283149576,154.7721816096212
145,1376.8059322860768,117.36648455451068
146,1269.9303346667969,82.82738832713198
147,1125.61137671968,38.427880904116904
148,1043.6385013172016,12.199937968121558
149,1016.8247633915504,8.239270395285072
150,1011.8275929358962,8.040962287955141
151,1011.2282173870622,9.499542689085237
152,1010.3986730412723,9.851037161622223
153,1009.0063420821543,10.184973730845208
154,1013.9678017367548,12.8046002875176
155,1012.8747194848278,12.723855207731459
156,1011.5661040101473,11.747504014641608
157,1006.3829641916285,6.455623682816668
158,1004.3270562981754,5.9477159593443245
159,1004.6110840081959,6.457496910836757
160,1006.2076300126841,6.201767059339571
161,1006.6560640062445,6.244104454231801
162,1010.601522099717,7.045886264034269
163,1022.9518001756269,11.100408291110961
164,1035.24734120402,17.025208992776438
165,1086.3336910918138,42.75468394190526
166,1181.4094057956875,90.5996987227474
167,1248.3694994633622,124.54956121912419
168,1203.7558786223046,101.5523203285139
169,1082.2595375158553,39.26001997859467
170,1086.1477217289491,40.78834367003107
171,1186.0681042052884,88.20812480499859
172,1285.364425797639,135.71517249962932
173,1275.4071616743097,129.02450031510517
