class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706,1.0
2,Fallow,0.9819277108433735,1.0,0.9908814589665653,1956,1.0
3,Fallow_rough_plow,0.8366849482023156,0.9992721979621543,0.9107794361525705,1374,0.9992721979621543
4,Fallow_smooth,0.9995862639635912,0.90895410082769,0.9521182266009852,2658,0.90895410082769
5,Stubble,0.999746192893401,1.0,0.9998730803401447,3939,1.0
6,Celery,1.0,0.9997190221972464,0.9998594913587185,3559,0.9997190221972464
7,Grapes_untrained,0.9612068965517241,0.8324593369478268,0.892212431531317,11251,0.8324593369478268
8,Soil_vinyard_develop,0.9991919844861021,1.0,0.9995958289548137,6183,1.0
9,Corn_senesced_green_weeds,0.9971680302076777,0.97268262737876,0.9847731510254817,3258,0.97268262737876
10,Lettuce_romaine_4wk,0.9650092081031307,1.0,0.9821930646672915,1048,1.0
11,Lettuce_romaine_5wk,0.9989517819706499,0.9994756161510225,0.999213630406291,1907,0.9994756161510225
12,Lettuce_romaine_6wk,0.9842696629213483,0.9776785714285714,0.9809630459126539,896,0.9776785714285714
13,Lettuce_romaine_7wk,0.9716177861873226,0.9780952380952381,0.9748457522543901,1050,0.9780952380952381
14,Vinyard_untrained,0.7845133249456708,0.9463300220750552,0.8578575448689888,7248,0.9463300220750552
15,Vinyard_vertical_trellis,1.0,0.9916060436485731,0.9957853329586963,1787,0.9916060436485731
