dataset,shot,model,runs,OA_mean,OA_std,Macro-F1_mean,Macro-F1_std,mean_true_logit_margin_mean,mean_true_logit_margin_std,negative_logit_margin_rate_mean,negative_logit_margin_rate_std,low_logit_margin_rate_mean,low_logit_margin_rate_std,safe_logit_margin_rate_mean,safe_logit_margin_rate_std,mean_true_prob_margin_mean,mean_true_prob_margin_std,negative_prob_margin_rate_mean,negative_prob_margin_rate_std,low_prob_margin_rate_mean,low_prob_margin_rate_std,safe_prob_margin_rate_mean,safe_prob_margin_rate_std,mean_top1_top2_margin_mean,mean_top1_top2_prob_margin_mean
indian_pines,5,hybridsn_small,5,0.7201915403032721,0.016713085305149596,0.6380526208226653,0.021695893036885013,0.8646312724678553,0.13764818252770752,0.2798084596967278,0.016713085305149603,0.012150837988826815,0.0016922875306177195,0.7080407023144454,0.015959896147983425,0.313186321075719,0.031604797192390996,0.2798084596967278,0.016713085305149603,0.02559856344772546,0.0035772756623247315,0.6945929768555468,0.01660437972019619,1.6627123165585194,0.47566831528989545
indian_pines,5,spectral_qnn_gated_proto,5,0.7205107741420591,0.01495258935845905,0.6412111895316943,0.01726402420267797,0.9575275038858073,0.20035551492300074,0.279489225857941,0.014952589358459042,0.009217877094972068,0.0038194622879439174,0.711292897047087,0.016276206027620154,0.3270642765810884,0.06897269777589708,0.279489225857941,0.014952589358459042,0.016719872306464486,0.011513182890376008,0.7037909018355946,0.020557592650527114,1.9954235302710999,0.5433185169525108
indian_pines,10,hybridsn_small,5,0.8012265004523977,0.025553173655557204,0.7153315253298541,0.020213067553115218,1.8801270867390656,0.33455847400106187,0.19877349954760232,0.02555317365555722,0.010937971247612345,0.002565774145523156,0.7902885292047853,0.025828211010251154,0.4768950998440468,0.05752124549720823,0.19877349954760232,0.02555317365555722,0.01781441640695687,0.005648978650602779,0.7834120840454408,0.026529056016663943,2.4166565977362873,0.6052931297129586
indian_pines,10,spectral_qnn_gated_proto,5,0.8088468885090982,0.02397168032854299,0.718224051546547,0.01920034522898343,1.802588577950217,0.2771238131415646,0.1911531114909018,0.02397168032854296,0.007801347139841158,0.001464608332279024,0.801045541369257,0.025318468695736566,0.4890328775456454,0.06038446672277142,0.1911531114909018,0.02397168032854296,0.010897758118025536,0.0021893085495230643,0.7979491303910727,0.025443616447207062,2.421700958844536,0.6404383801205918
pavia_university,5,hybridsn_small,5,0.7657700335357989,0.04327766149073458,0.7619649157153292,0.018694290939704268,1.4171598337201945,0.5009160717670187,0.23422996646420113,0.04327766149073455,0.012809268075326563,0.00432353522385808,0.7529607654604723,0.04569274298639889,0.41011698344165753,0.09695657166594754,0.23422996646420113,0.04327766149073455,0.022490091695785745,0.00961804151888408,0.7432799418400131,0.04890748377179463,2.0115958478830995,0.5499022790683963
pavia_university,5,spectral_qnn_gated_proto,5,0.775277315259961,0.034776109237497854,0.7710936007020088,0.021743016087839663,1.1280708717953805,0.4613681244308153,0.22472268474003892,0.034776109237497854,0.011772707019066155,0.004499409569752908,0.7635046082408949,0.03521243568043128,0.34561589595512604,0.10603679935078492,0.22472268474003892,0.034776109237497854,0.017752866959030042,0.007474715702549792,0.757524448300931,0.03488519955971205,1.6860487311752312,0.49021898342251824
pavia_university,10,hybridsn_small,5,0.8226171471499673,0.04924761717091869,0.7919759979075065,0.08136985469180669,1.5126179747818767,0.6220546467889927,0.17738285285003288,0.04924761717091871,0.017461733496102923,0.01154787398933214,0.8051554136538643,0.05961985660582712,0.42684535851330213,0.16102804760482198,0.17738285285003288,0.04924761717091871,0.04455817447647667,0.049089434081847245,0.7780589726734906,0.09482703252278261,1.837262838789755,0.5009169139792344
pavia_university,10,spectral_qnn_gated_proto,5,0.8631514696215608,0.025888681118657397,0.8612717948590678,0.022158129633316037,1.6014340267822313,0.3147879984764459,0.1368485303784393,0.0258886811186574,0.0070898675932012396,0.0015246279457302961,0.8560616020283595,0.02615807381269719,0.4802971482918367,0.09145825642882267,0.1368485303784393,0.0258886811186574,0.009963376842896046,0.0033690564204271966,0.8531880927786647,0.026233050882265,1.9694425019261612,0.5748317788615571
salinas,5,hybridsn_small,5,0.8693276921078514,0.07106700977390676,0.8966788489976594,0.09207867533620456,1.644981594476593,0.6996773323689867,0.13067230789214868,0.07106700977390677,0.10470782534469003,0.06507492409619536,0.7646198667631612,0.09520813827454051,0.4020368973019745,0.17841856905256062,0.13067230789214868,0.07106700977390677,0.174061496780419,0.13556733332617724,0.6952661953274324,0.1988821322694529,1.6982086726625085,0.41698477877826345
salinas,5,spectral_qnn_gated_proto,5,0.8816493161869768,0.02091643744148118,0.9335603496753627,0.007775647866297987,1.8842652754047635,0.49185597978319123,0.11835068381302308,0.020916437441481202,0.04915288834456012,0.033635330884993674,0.8324964278424168,0.030683888492181694,0.4848984470451814,0.0898293979018608,0.11835068381302308,0.020916437441481202,0.05611905954833083,0.039073518983190725,0.8255302566386462,0.03526661415680924,1.9622312853508064,0.5154531806844067
