class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0
1,Brocoli_green_weeds_2,0.9991911566459962,1.0,0.9995954146999325,3706,1.0
2,Fallow,0.998468606431853,1.0,0.9992337164750957,1956,1.0
3,Fallow_rough_plow,0.8609865470852018,0.9781659388646288,0.9158432708688246,1374,0.9781659388646288
4,Fallow_smooth,0.9885757806549885,0.9766741911211437,0.9825889477668432,2658,0.9766741911211437
5,Stubble,0.9974677133451507,1.0,0.9987322515212982,3939,1.0
6,Celery,1.0,0.9977521775779713,0.9988748241912799,3559,0.9977521775779713
7,Grapes_untrained,0.8665792922673656,0.8815216425206648,0.8739866055692633,11251,0.8815216425206648
8,Soil_vinyard_develop,0.9899135446685879,1.0,0.9949312092686459,6183,1.0
9,Corn_senesced_green_weeds,0.9847860538827259,0.9536525475751995,0.9689692811476688,3258,0.9536525475751995
10,Lettuce_romaine_4wk,0.9641214351425943,1.0,0.9817330210772833,1048,1.0
11,Lettuce_romaine_5wk,0.9978813559322034,0.9879391714735186,0.9928853754940712,1907,0.9879391714735186
12,Lettuce_romaine_6wk,0.9595628415300547,0.9799107142857143,0.969630038652678,896,0.9799107142857143
13,Lettuce_romaine_7wk,0.9443430656934306,0.9857142857142858,0.9645852749301025,1050,0.9857142857142858
14,Vinyard_untrained,0.8182346953613494,0.7763520971302428,0.7967433628318584,7248,0.7763520971302428
15,Vinyard_vertical_trellis,1.0,0.9826524902070509,0.9912503528083545,1787,0.9826524902070509
